"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","GRADRATEFIELD","ENGINEERING","PC","A","2016",15.623,
"POL","GRADRATEFIELD","ENGINEERING","PC","A","2017",15.825,
"POL","GRADRATEFIELD","ENGINEERING","PC","A","2018",14.583,
"PRT","GRADRATEFIELD","EDU","PC","A","2016",5.284,
"PRT","GRADRATEFIELD","EDU","PC","A","2017",4.807,
"PRT","GRADRATEFIELD","EDU","PC","A","2018",4.418,
"PRT","GRADRATEFIELD","HEALTH","PC","A","2016",18.21,
"PRT","GRADRATEFIELD","HEALTH","PC","A","2017",17.417,
"PRT","GRADRATEFIELD","HEALTH","PC","A","2018",17.507,
"PRT","GRADRATEFIELD","BUSINESS","PC","A","2016",19.085,
"PRT","GRADRATEFIELD","BUSINESS","PC","A","2017",19.368,
"PRT","GRADRATEFIELD","BUSINESS","PC","A","2018",20.271,
"PRT","GRADRATEFIELD","ENGINEERING","PC","A","2016",21.276,
"PRT","GRADRATEFIELD","ENGINEERING","PC","A","2017",20.914,
"PRT","GRADRATEFIELD","ENGINEERING","PC","A","2018",19.591,
"SVK","GRADRATEFIELD","EDU","PC","A","2016",13.129,
"SVK","GRADRATEFIELD","EDU","PC","A","2017",12.777,
"SVK","GRADRATEFIELD","EDU","PC","A","2018",13.657,
"SVK","GRADRATEFIELD","HEALTH","PC","A","2016",17.761,
"SVK","GRADRATEFIELD","HEALTH","PC","A","2017",18.178,
"SVK","GRADRATEFIELD","HEALTH","PC","A","2018",16.511,
"SVK","GRADRATEFIELD","BUSINESS","PC","A","2016",20.334,
"SVK","GRADRATEFIELD","BUSINESS","PC","A","2017",20.378,
"SVK","GRADRATEFIELD","BUSINESS","PC","A","2018",20.069,
"SVK","GRADRATEFIELD","ENGINEERING","PC","A","2016",12.431,
"SVK","GRADRATEFIELD","ENGINEERING","PC","A","2017",12.127,
"SVK","GRADRATEFIELD","ENGINEERING","PC","A","2018",12.434,
"ESP","GRADRATEFIELD","EDU","PC","A","2016",16.542,
"ESP","GRADRATEFIELD","EDU","PC","A","2017",16.401,
"ESP","GRADRATEFIELD","EDU","PC","A","2018",17.03,
"ESP","GRADRATEFIELD","HEALTH","PC","A","2016",15.999,
"ESP","GRADRATEFIELD","HEALTH","PC","A","2017",16.389,
"ESP","GRADRATEFIELD","HEALTH","PC","A","2018",16.818,
"ESP","GRADRATEFIELD","BUSINESS","PC","A","2016",18.642,
"ESP","GRADRATEFIELD","BUSINESS","PC","A","2017",18.928,
"ESP","GRADRATEFIELD","BUSINESS","PC","A","2018",19.343,
"ESP","GRADRATEFIELD","ENGINEERING","PC","A","2016",14.876,
"ESP","GRADRATEFIELD","ENGINEERING","PC","A","2017",14.225,
"ESP","GRADRATEFIELD","ENGINEERING","PC","A","2018",13.161,
"SWE","GRADRATEFIELD","EDU","PC","A","2016",12.216,
"SWE","GRADRATEFIELD","EDU","PC","A","2017",12.227,
"SWE","GRADRATEFIELD","EDU","PC","A","2018",12.989,
"SWE","GRADRATEFIELD","HEALTH","PC","A","2016",22.179,
"SWE","GRADRATEFIELD","HEALTH","PC","A","2017",23.056,
"SWE","GRADRATEFIELD","HEALTH","PC","A","2018",23.242,
"SWE","GRADRATEFIELD","BUSINESS","PC","A","2016",17.12,
"SWE","GRADRATEFIELD","BUSINESS","PC","A","2017",16.186,
"SWE","GRADRATEFIELD","BUSINESS","PC","A","2018",16.417,
"SWE","GRADRATEFIELD","ENGINEERING","PC","A","2016",18.319,
"SWE","GRADRATEFIELD","ENGINEERING","PC","A","2017",18.807,
"SWE","GRADRATEFIELD","ENGINEERING","PC","A","2018",18.278,
"CHE","GRADRATEFIELD","EDU","PC","A","2016",9.975,
"CHE","GRADRATEFIELD","EDU","PC","A","2017",9.655,
"CHE","GRADRATEFIELD","EDU","PC","A","2018",9.773,
"CHE","GRADRATEFIELD","HEALTH","PC","A","2016",14.867,
"CHE","GRADRATEFIELD","HEALTH","PC","A","2017",15.51,
"CHE","GRADRATEFIELD","HEALTH","PC","A","2018",15.468,
"CHE","GRADRATEFIELD","BUSINESS","PC","A","2016",28.763,
"CHE","GRADRATEFIELD","BUSINESS","PC","A","2017",28.566,
"CHE","GRADRATEFIELD","BUSINESS","PC","A","2018",28.497,
"CHE","GRADRATEFIELD","ENGINEERING","PC","A","2016",15.704,
"CHE","GRADRATEFIELD","ENGINEERING","PC","A","2017",15.838,
"CHE","GRADRATEFIELD","ENGINEERING","PC","A","2018",15.841,
"TUR","GRADRATEFIELD","EDU","PC","A","2016",9.604,
"TUR","GRADRATEFIELD","EDU","PC","A","2017",9.544,
"TUR","GRADRATEFIELD","EDU","PC","A","2018",9.281,
"TUR","GRADRATEFIELD","HEALTH","PC","A","2016",10.084,
"TUR","GRADRATEFIELD","HEALTH","PC","A","2017",12.34,
"TUR","GRADRATEFIELD","HEALTH","PC","A","2018",12.831,
"TUR","GRADRATEFIELD","BUSINESS","PC","A","2016",34.558,
"TUR","GRADRATEFIELD","BUSINESS","PC","A","2017",31.396,
